Date,RSI,Ultimate,BandRadius,Chaikin,NATR,SMA_5,SMA_20,SMA_100,SAR,Williams%R,APO,ROC_5,ROC_20,ROC_100,policy
2012-04-17,42.99292888058457,-1.2538593487092844,0.0245468259935855,-546930445.4699402,32.098658593519694,0.994925237600397,1.0344219516969784,0.9914643506759406,1.0225850106056986,-225.9261733637217,-0.0195080956094885,0.0139179438746319,-0.0531707752794889,0.1420425756208368,1.0
2012-04-18,44.06130541634492,-0.4070608435940795,0.0254900852726176,-527602103.33382034,31.85509036230564,0.991387116153352,1.027763930383668,0.9883643210218804,1.01792707303273,-223.65285844769352,-0.0226203848480159,0.0049939362719589,-0.0374650509464891,0.1649786088069954,1.0
2012-04-19,42.95786228189588,-0.130802534350696,0.0215071900012746,-513185964.118412,32.140431173143284,0.9947522459209572,1.0310913009716522,0.9956976957758032,1.023862650004291,-226.5461127059516,-0.0289970253626702,-0.0119343097568555,-0.0506130618627833,0.1862648757786486,1.0
2012-04-20,39.81337546897339,-1.1334998117773831,0.023937348854413,-545316040.2884712,32.51806499986694,1.0103389400539529,1.0459322101069874,1.0143771121404774,1.0416500142316885,-235.0189740401676,-0.03191819931407,-0.0084034868171175,-0.0578842869885074,0.1602753746836991,1.0
2012-04-23,35.39045677668277,-2.7479191739824818,0.0384667713604516,-646976819.1333809,33.08803830457698,1.0348583309658923,1.0707189389763665,1.044069676316865,1.071152051652008,-224.9900014316657,-0.0354337953225033,-0.0200682259832379,-0.0882000612195395,0.1065571410247348,1.0
2012-04-24,35.003912421890746,-1.9666755356313128,0.045655852641179,-687621455.9094543,33.091175083915104,1.0275228123407762,1.0676494820419726,1.047933429623236,1.0739596582897972,-305.89120848679164,-0.0380134724535306,-0.0478366643360785,-0.1051602812058963,0.1270313728642224,1.0
2012-04-25,39.94860615771526,-0.8012605423920411,0.035816232132024,-680115663.7516899,32.42124277729523,1.0018016963145169,1.0440367495993397,1.0299183238132583,1.0546090297188526,-311.4713694673442,-0.0370782798696738,-0.0347825171721709,-0.0804733117218149,0.0948803139312801,1.0
2012-04-26,44.39571327073096,-0.7843520997472738,0.028140126056805,-660144592.905716,31.81907103831636,0.9820404788159712,1.0229763323034526,1.0132798505960334,1.0363802050252229,-328.4902054375684,-0.0341808288299644,-0.0120781494669968,-0.0568588405590047,0.1316793567326305,1.0
2012-04-27,42.81339845983598,-1.001606241901977,0.0273581999360326,-641196091.7155113,32.04598093974525,0.989375320995163,1.0274543065974844,1.0224181474789038,1.0447488101744336,-335.86962564241173,-0.0333507558797315,-0.0029660679318961,-0.070327782841978,0.10573275545656,1.0
2012-04-30,38.672808897775575,-1.4901835544786042,0.0271382029817418,-616144777.2421265,32.57382819786645,1.0126087509328023,1.0453695506508291,1.0465912611916155,1.068823453989175,-342.6782286918455,-0.0354013272454833,0.002178655094199,-0.1033139161116758,0.0653082970059234,1.0
2012-05-01,42.194307919171656,-0.6628160013652061,0.0207387822538978,-586763595.993763,32.106107403962326,1.002745537789125,1.0240667930457752,1.033371775527666,1.0546090297188526,-301.9314631797764,-0.0336132797428754,0.0183486278095905,-0.1289236528854008,0.0751843907467466,1.0
2012-05-02,39.22128380649228,-0.549343026109902,0.0263484970282573,-598925977.8486519,32.416324897862545,1.016048760228381,1.035346570062586,1.0509287215399683,1.0720861726593631,-314.8697541621364,-0.0315061205256038,-0.0163019945469101,-0.1021923341787054,0.045123206189796,1.0
2012-05-03,35.27652230520498,-1.181311467569762,0.0351961861410605,-627865815.1125603,33.11320905478025,1.0294143643044462,1.0551630723766396,1.0778585863611432,1.0989243164840323,-282.84945042744533,-0.033392318100619,-0.056913938949788,-0.1087648750196023,0.0662535314381213,1.0
2012-05-04,35.208443146873044,-1.6134959701665537,0.0333552830292491,-659937406.1242867,32.87804650118225,1.019409544320928,1.050156306959608,1.0788816406728974,1.0994156409821452,-248.7898346485696,-0.035279284833872,-0.0497235338209995,-0.0987503633069617,0.0572107721257134,1.0
2012-05-07,35.874872661241696,-2.1983608044523324,0.034117688909962,-650387963.1072006,32.613412052841525,1.0118699863472496,1.043819949974419,1.077193391245017,1.0969631604785135,-247.523042951599,-0.0361731443917026,-0.0256523714771457,-0.0739670642241408,0.0774034220575175,1.0
2012-05-08,34.49889814233954,-2.3038425562135885,0.0218311815142383,-648239308.5531807,32.61999714582508,1.0103465635880935,1.0489430412804597,1.0868692220206118,1.1058454054528106,-252.08435605745555,-0.0356845855664407,-0.046332313252211,-0.0624211247992634,0.1054199232711245,1.0
2012-05-09,37.51029257341708,-1.316335939834899,0.0064122035560092,-621172529.8686142,32.32048929425248,0.9965240942814736,1.0355838353250242,1.0780213908065797,1.095496459297983,-297.1922489400353,-0.0298402156574035,-0.0213695685092595,-0.0661671908820919,0.1525422096115487,1.0
2012-05-10,36.90131846116,-1.700391943294253,0.0064322676263686,-598209231.8530159,32.39711665467073,0.9996422625317328,1.0345104133065806,1.082409319597191,1.0989243164840323,-299.57550998459,-0.0264204255871205,0.0,-0.0794238139825852,0.1129353199013714,1.0
2012-05-11,33.77946385707401,-1.7131636888690671,0.0147148949571045,-582490243.2896805,32.794543369595644,1.0131817639309662,1.0478181995006963,1.101454506183863,1.117406349160768,-312.17341912759406,-0.0264073227172522,-0.0161004169988247,-0.0756303444626004,0.0918112831074264,1.0
2012-05-14,30.958852655867087,-1.535446675011983,0.0271323728537285,-607342990.675148,33.09492680923853,1.0233011438943338,1.0616045074417997,1.121488888670847,1.1365208183611806,-296.07683628283,-0.0292566091766721,-0.0348059245757659,-0.0764305296839084,0.1354329904880147,1.0
