Date,RSI,Ultimate,BandRadius,Chaikin,NATR,SMA_5,SMA_20,SMA_100,SAR,Williams%R,APO,ROC_5,ROC_20,ROC_100,policy
2012-04-17,46.24804443352599,-0.4604698716094609,0.0140912332062872,-915912551.0205268,32.1353076599958,1.002697905017459,1.0040776845749586,1.0083285754431883,1.2316797192734932,-799.9539357355527,0.0048933679024184,-0.0057332721522098,-0.0063439160804801,0.0677037292699943,1.0
2012-04-18,47.60987073870339,-0.380311748457594,0.0073085975961376,-950743068.6110344,32.07080534153686,0.99782230319663,1.0015463026490663,1.006565168320389,1.2287698764240462,-794.4386997401688,0.0039624680805151,-0.0123784944656233,-0.0031748640020865,0.0659581584146072,1.0
2012-04-19,38.25908213247003,-0.8077905193156398,0.0153439967879015,-944216067.1447716,32.68503814667685,1.0144417367932006,1.022444424612445,1.0288240979794108,1.255336318632572,-499.7057640969686,0.0019598278169639,-0.0241705149695764,-0.0148883020513433,0.0522585645259563,1.0
2012-04-20,42.17737766715654,-0.8371581395113606,0.0158038019831874,-933587405.9851836,32.592313710768046,1.0053161158793518,1.0154839312092907,1.022285139039227,1.2467007972432498,-490.3326954196662,-0.0005178042239077,-0.0106220869960107,0.0014611916966969,0.0569007394672749,1.0
2012-04-23,39.137751678533625,-0.8768294394012413,0.0189279590848903,-914439311.692726,32.742183515773,1.010316123644757,1.023295478071777,1.0306313224781496,1.2565231254336366,-500.9838646202283,-0.0013751098866954,-0.0143924975179723,-0.0037678080440628,0.0300729048975762,1.0
2012-04-24,36.84975374507977,-0.9873427087197884,0.0198585255726848,-892513002.778923,32.85906581160565,1.011396293238692,1.0285281822875585,1.0373569913652172,1.2644932387342025,-509.5049136401286,-0.0036859429596371,-0.0259499366667683,-0.0245434335800272,0.0192002005744958,1.0
2012-04-25,40.765460266642,-0.5548356214710142,0.0089942966039715,-978946846.8636742,32.58226160782086,1.0002519947306563,1.0206101401141552,1.0305322009784574,1.2561272299185593,-500.5577837543706,-0.0058508107007163,-0.0217791262245677,-0.0217791262245677,0.0038611695913093,1.0
2012-04-26,44.3628667548094,-0.5536367560936512,0.0102177773557075,-985172378.1230544,32.35420942702812,0.995032773867258,1.0134612431573442,1.0240762765554654,1.2481313347316767,-491.8943762724531,-0.0066831421112537,0.0057726167915207,-0.0128758314670803,0.0105034251560677,1.0
2012-04-27,52.291252414713,-0.0939170879708218,0.0195812550725239,-958905044.2902908,31.916043124626235,0.9821526405920464,0.9971967780143964,1.008017433074765,1.228265208739754,-527.1535804818822,-0.0078472543085044,0.0150094526591788,-0.0026631181647649,0.0247021302867551,1.0
2012-04-30,52.61966216966818,0.5546976233345239,0.0235580023766938,-961369987.6024324,31.871918702382622,0.986085321897294,0.9961468964112636,1.0075770343549284,1.2273828480763689,-528.7715526138918,-0.0086553308344897,0.0237417993928613,-0.0066261174141724,0.0292026405588778,1.0
2012-05-01,51.26266532442092,0.2535310981670209,0.0188287569606531,-964781856.447773,31.954063312635668,0.9939917123446912,0.9981121259267468,1.0103596895510147,1.2305394838962127,-532.8981938822861,-0.0091332886036806,0.0275925764937531,-0.0117933329163418,0.0195057331844775,1.0
2012-05-02,52.8853354991144,0.6337674832760426,0.0129346826869256,-956832242.3456192,31.842133227014475,0.9955285570422702,0.9939697926660818,1.007325235899578,1.2266273316037724,-609.3674296051596,-0.0085224820926808,0.0240496013375282,-0.0190138275886535,0.0180914081426272,1.0
2012-05-03,50.15872210334107,0.6763257193265783,0.0035615336313411,-940063759.099083,31.9513402875602,1.0028440311550488,0.9985571862810408,1.0122860554208877,1.2325682709945769,-618.6056709139531,-0.0085049840496169,0.0126265328285155,-0.0045137859091967,0.0082707130321079,1.0
2012-05-04,44.067679976984586,0.1069245224999238,0.0124476506736804,-910627584.8908156,32.26267291893959,1.0119328699500847,1.00930952890761,1.0244862047275776,1.24761077142751,-641.6035472707251,-0.0094011084711906,-0.0155060882214257,-0.0278849545161161,-0.0151649399167485,1.0
2012-05-07,42.3629945306398,-0.2212749877436916,0.0164867241539259,-904670988.7182922,32.31810710575442,1.0116848286032696,1.0113497859111973,1.0281088427892713,1.252313499744434,-648.6799984269309,-0.008378127190814,-0.0199076762113904,-0.0340818727365656,-0.0233466374526387,1.0
2012-05-08,34.5313933554704,-1.3431394095953415,0.0295726913944742,-913586916.7818222,32.843819813061444,1.0250773002925622,1.030336495137634,1.0492460699157151,1.278550635153633,-529.0393776595021,-0.008811947507883,-0.0375512317911847,-0.0421825068419068,-0.0387029426337528,1.0
2012-05-09,29.65194724288549,-1.8224036185239427,0.0394778506907477,-917110877.0239182,33.25049293228118,1.031001709871956,1.0448872293033729,1.0671922298490997,1.301081431713342,-432.5437802735935,-0.0092322020971457,-0.0572247810896233,-0.0672685615756436,-0.0515753140627409,0.0
2012-05-10,29.485701822060605,-1.839575886735587,0.0370453997683815,-935739794.241909,33.20155523401797,1.020420234947668,1.042429583810317,1.0672814917324698,1.301931480511352,-433.25349088909,-0.0085530677654532,-0.0532771582491665,-0.0590947283415586,-0.0573132518668295,0.0
2012-05-11,29.69772630846559,-1.878083741329025,0.031118255061223,-939252047.40765,33.11654678375235,1.0114474667052156,1.039331060741469,1.0663990220946349,1.3015067423394184,-432.8989904366495,-0.0092254900941195,-0.0414104431107532,-0.0522844079164486,-0.0507184938263874,3.0
