Date,RSI,Ultimate,BandRadius,Chaikin,NATR,SMA_5,SMA_20,SMA_100,SAR,Williams%R,APO,ROC_5,ROC_20,ROC_100,policy
2012-04-17,70.34976545708211,2.5739289862063472,0.0307957939603426,-443334785.0722752,13.348745750383284,0.9707379854945464,0.9561309138252264,0.8425071561711575,0.7939223429781934,-169.08464502601598,0.0158249091907904,0.0693040604418473,0.0853013516354904,0.402969367001315,2.0
2012-04-18,70.50479600579118,2.9689234431581677,0.0348729952003082,-462341691.8771229,13.360969002544934,0.9787335525133302,0.9589534261088576,0.8447661068174788,0.7933463383975076,-164.54492057978337,0.016100058757791,0.0454775108684143,0.0756436044381496,0.4025647446511921,2.0
2012-04-19,66.86778367072328,4.343383438684128,0.0311641598929915,-472316604.7390976,13.450884655636877,0.9921146506599982,0.9683740540951192,0.8535928992023948,0.7989454490584917,-173.04070483468595,0.0158424057634269,0.0334507393542958,0.0560271157712587,0.4014989229593305,2.0
2012-04-20,65.98271574524043,2.789290210436857,0.0210423810816863,-493937046.9693966,13.50452324044149,0.9996589581352876,0.9726111513100776,0.8579086579394033,0.8003092459070982,-175.09205166261407,0.0159866315159559,0.0301354354021716,0.054498293578911,0.400301128854198,2.0
2012-04-23,59.01475350994843,1.401685698739998,0.016746993583123,-493341615.5997715,13.637655982765343,1.0152326386238244,0.9887984755313528,0.8728287132855144,0.8117874977023793,-192.0838728013389,0.0163015024473562,0.00621995453419,0.0468545258673609,0.3542239889470527,2.0
2012-04-24,56.895207320333874,1.0421924608395738,0.021017435285875,-475939335.8169212,13.736430910302447,1.0145590620793143,0.9945714945888162,0.8794416173917161,0.8156193818174067,-197.64991947453183,0.0140595736760061,-0.0266019166818555,0.0226117714460358,0.332069975317644,2.0
2012-04-25,64.00348046262707,2.3841244353477684,0.0186778270327954,-449704162.7745533,13.553681465106068,0.989907779940453,0.973216910441816,0.8612828121574331,0.7964259758397754,-169.23257649919475,0.0132637403649987,-0.0038668219466605,0.0427523880607922,0.3398513002660102,2.0
2012-04-26,67.29657352392128,1.47494496470213,0.0262239396298361,-425627409.24893,13.484982120817676,0.9801292499992516,0.9631435081278528,0.8524741732769996,0.7859392239900814,-146.90697041488758,0.0162351349906297,0.0165486397311739,0.0580040704994072,0.3390645506623974,3.0
2012-04-27,70.89405670681089,2.7602435295209355,0.0387798666593661,-403621430.8233204,13.383870303665374,0.9709844534330568,0.9513072097852824,0.8413120057954243,0.7731672524000106,-124.84359741210938,0.018407964098785,0.03510494452893,0.0826106964621721,0.3681829429099494,2.0
2012-04-30,62.80666401661541,2.2147702882140803,0.0350913322379176,-389151491.7730484,13.615998269925267,0.9945337214736556,0.9708104791271206,0.8588584500374774,0.7870698145024598,-156.27896585953914,0.0200437411548718,0.0314046895770544,0.0503653762590448,0.3190089006796825,2.0
2012-05-01,64.76883440116805,2.562783864518367,0.0194329404207318,-382895028.3193016,13.577445086732192,0.9950534001990632,0.965552880393172,0.8543819041926839,0.7807057424939342,-168.44285991905164,0.0211728753104924,0.0447206129315024,0.0546778660351728,0.3276674070746868,3.0
2012-05-02,67.38470758811005,4.098486023801887,0.0159874967398157,-376152245.1277294,13.493536732449256,0.989983740879209,0.958088709836028,0.8473476343577383,0.7718948657958504,-164.2046787808517,0.0226521324191925,0.031780377265021,0.0737183007431666,0.352832179789495,2.0
2012-05-03,66.49872884671029,4.203475086661433,0.0148031513950236,-393039777.1391392,13.52931328595029,0.9950527212917476,0.9635333539249032,0.8516192733843735,0.7733491287805649,-163.60318947430295,0.0222086009835695,0.0162799630089049,0.0785063948816846,0.3652290428610888,2.0
2012-05-04,59.07298313482266,1.4611797890986682,0.0164807897021584,-391551233.15561104,13.726825784137295,1.008529045028298,0.9816603705135712,0.8685499710302239,0.7865041129438034,-205.3083390083668,0.0212225987662292,-0.016957140241612,0.0359886110351304,0.3235052293389842,2.0
2012-05-07,56.67335729560977,-0.1586955936739487,0.0192825942475609,-390485382.3639031,13.91880268813793,1.0135452688973343,0.9893587146525664,0.8762252677209615,0.7912430156755846,-213.0962311061681,0.0200495571999745,-0.0052742344519295,0.0369909499824344,0.3231092603358125,2.0
2012-05-08,55.84037067120552,-1.2909920668833923,0.0230212932304004,-390634083.12838745,13.88752237948833,1.0125152399847217,0.9946981098045324,0.8805003078195752,0.7928720503574498,-215.7518781338609,0.0192909412237421,-0.0153446042877039,0.0707205338356402,0.3282049437903868,2.0
2012-05-09,55.63330431748413,-0.1582184700531146,0.0192653917350269,-377220699.383234,13.894246855872296,1.0074709073271642,0.9973602990671654,0.8834363443035538,0.7932560800110102,-216.37633329706685,0.0197948815775065,-0.0269285225205753,0.0455964675529302,0.3350357450121213,2.0
2012-05-10,59.808556984260456,0.3001674933149966,0.009752602497451,-371875207.2647362,13.765231755547584,0.9923393176701616,0.9875107479260116,0.8750321859035979,0.7833855506513472,-200.1319025532949,0.0207345495837217,-0.0128115994256434,0.053977526579017,0.3492525316747837,2.0
2012-05-11,54.11329704589305,-1.204527494541718,0.0097959020301154,-370885096.7291298,13.865434088712266,1.0035152769127738,1.002305423597195,0.888996827613883,0.7936408954811609,-217.00146006186796,0.0194334424391051,-0.0089924581482543,0.038790866477548,0.3350324847734582,2.0
2012-05-14,41.80732057730561,-3.932238136960151,0.0357332694720576,-372288681.7515316,14.331433443621004,1.0342566967575944,1.0409610356584589,0.9260001779440948,0.8246265637933912,-229.81698750453577,0.0165535481579573,-0.0404832315420908,-0.0094464392804,0.2978172337074389,0.0
