Date,Open,High,Low,Close,Volume,RSI,Ultimate,BandRadius,Chaikin
2011-12-06,14.018214225769043,14.093929290771484,13.906429290771484,11.98843002319336,283598000,52.63342606501404,3.1701754352595666,0.22528021996843783,-22922174733.486847
2011-12-07,13.926071166992188,13.962142944335938,13.812856674194336,11.93139362335205,304746400,51.18789629265164,1.5528870254941831,0.10648284803857955,-23380769419.58432
2011-12-08,13.98035717010498,14.125,13.936785697937012,11.979537963867188,376356400,52.376840367742226,2.3362224056521845,0.08223943967180425,-24053166362.36035
2011-12-09,14.030357360839844,14.072856903076172,13.965356826782227,12.070305824279785,296993200,54.621032579093495,1.8242851609155637,0.10109182193462374,-25567769628.59909
2011-12-12,13.988571166992188,14.067856788635254,13.908928871154785,12.015725135803223,301067200,53.00355438864563,1.1118668738950386,0.09124432092887247,-26241095884.362305
2011-12-13,14.035714149475098,14.121429443359375,13.824999809265137,11.922810554504395,338928800,50.274239851954874,0.19578091149252325,0.10949578300740548,-25622865718.639404
2011-12-14,13.810713768005371,13.835000038146973,13.488571166992188,11.658476829528809,406887600,43.42364539355989,-1.3485705134529475,0.287420356646674,-24537918495.76236
2011-12-15,13.690357208251953,13.704999923706055,13.51107120513916,11.620146751403809,256200000,42.51887919798527,-1.1730059984380588,0.36936027695140794,-23534579734.051544
2011-12-16,13.584285736083984,13.719642639160156,13.556071281433105,11.683927536010742,421478400,44.587829619286424,-0.9733431363683416,0.3168745092713312,-24188540356.349762
2011-12-19,13.659643173217773,13.744643211364746,13.588570594787598,11.72042179107666,235530400,45.790155908710354,-0.9472385863025805,0.21200491250307074,-24126113457.050842
2011-12-20,13.848570823669434,14.146429061889648,13.830714225769043,12.141756057739258,337215200,57.307570780562465,0.692229589815606,0.38244970697372693,-23162573375.605103
2011-12-21,14.167499542236328,14.189286231994629,14.000356674194336,12.157089233398438,262948000,57.66011736839884,0.8883128033735697,0.4695126789431505,-22378914068.354523
2011-12-22,14.178570747375488,14.254643440246582,14.146429061889648,12.221484184265137,202358800,59.18450394627048,1.531243962676624,0.4654100745563987,-22378927101.339752
2011-12-23,14.274642944335938,14.413928985595703,14.267499923706055,12.368064880371094,269399200,62.49465826062831,3.1977078543892845,0.4320475547615086,-22654018299.33896
2011-12-27,14.396429061889648,14.610357284545898,14.393570899963379,12.466190338134766,265076000,64.56636585190779,3.7834056827749216,0.25243185214791275,-22291165395.917053
2011-12-28,14.53178596496582,14.58035659790039,14.333571434020996,12.346902847290039,228662000,60.21208079369794,3.030118854385421,0.2196844719520339,-21360413457.49579
